security_id,ticker,security_name,asset_class,sector,currency,exchange,status,source_system,batch_id,load_date,record_created_ts,record_updated_ts
SEC00001,RELIANCE,RELIANCE,Mutual Fund,Finance,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909283,2026-07-16 11:10:55.909283
SEC00002,TCS,TCS,ETF,Energy,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909298,2026-07-16 11:10:55.909298
SEC00003,INFY,INFY,Equity,Industrial,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909303,2026-07-16 11:10:55.909303
SEC00004,HDFCBANK,HDFCBANK,ETF,Industrial,INR,NSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909307,2026-07-16 11:10:55.909307
SEC00005,ICICIBANK,ICICIBANK,Bond,Industrial,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909310,2026-07-16 11:10:55.909310
SEC00006,SBIN,SBIN,ETF,Technology,INR,NSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909314,2026-07-16 11:10:55.909314
SEC00007,LT,LT,ETF,Technology,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909317,2026-07-16 11:10:55.909317
SEC00008,ITC,ITC,Mutual Fund,Consumer,INR,NSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909321,2026-07-16 11:10:55.909321
SEC00009,AXISBANK,AXISBANK,Mutual Fund,Finance,INR,NSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909324,2026-07-16 11:10:55.909324
SEC00010,MARUTI,MARUTI,ETF,Consumer,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909327,2026-07-16 11:10:55.909327
SEC00011,WIPRO,WIPRO,Equity,Healthcare,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909330,2026-07-16 11:10:55.909330
SEC00012,HCLTECH,HCLTECH,Equity,Energy,INR,NSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909333,2026-07-16 11:10:55.909333
SEC00013,SUNPHARMA,SUNPHARMA,ETF,Energy,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909337,2026-07-16 11:10:55.909337
SEC00014,NTPC,NTPC,Bond,Industrial,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909340,2026-07-16 11:10:55.909340
SEC00015,POWERGRID,POWERGRID,Bond,Technology,INR,BSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909342,2026-07-16 11:10:55.909342
SEC00016,ONGC,ONGC,Equity,Finance,INR,NSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909346,2026-07-16 11:10:55.909346
SEC00017,TATAMOTORS,TATAMOTORS,Mutual Fund,Industrial,INR,NSE,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:55.909348,2026-07-16 11:10:55.909348
