transaction_id,transaction_date,account_id,security_id,advisor_id,transaction_type,quantity,price,trade_value,brokerage_fee,tax_amount,source_system,batch_id,load_date,record_created_ts,record_updated_ts
8ce6c682-a8ec-4e51-9956-2b371eb6bb4e,2026-10-26,ACC000385,SEC00145,ADV0017,BUY,337,3842.9,1295057.3,2590.11,2331.1,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:59.062997,2026-07-16 11:10:59.062997
6dcc881a-a9a3-4f3b-88d1-1bf40ed9ba6a,2025-10-29,ACC000114,SEC00120,ADV0019,BUY,357,1002.89,358031.73,716.06,644.46,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:59.063062,2026-07-16 11:10:59.063062
b247e3aa-d48f-45be-baa3-1757a28b0ba7,2025-10-11,ACC000655,SEC00110,ADV0010,SELL,233,4621.21,1076741.93,2153.48,1938.14,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:59.063107,2026-07-16 11:10:59.063107
08ea72b3-4690-4924-811a-ad7c5c367beb,2025-10-11,ACC000264,SEC00016,ADV0018,SELL,83,3925.58,325823.14,651.65,586.48,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:59.063142,2026-07-16 11:10:59.063142
0ec5fdea-a0a6-4852-90e1-1bd608fdc33b,2025-09-22,ACC000398,SEC00068,ADV0013,BUY,171,4980.2,851614.2,1703.23,1532.91,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:59.063173,2026-07-16 11:10:59.063173
19b827cc-54a8-421f-9f16-513b4eb41667,2025-07-25,ACC000452,SEC00101,ADV0005,BUY,36,2509.44,90339.84,180.68,162.61,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:59.063204,2026-07-16 11:10:59.063204
32113fc6-7b22-499d-a842-5867acb67e08,2026-07-08,ACC000661,SEC00111,ADV0010,BUY,252,631.31,159090.12,318.18,286.36,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:59.063242,2026-07-16 11:10:59.063242
a5825418-0ab0-47c8-bcc6-075cfed4e73a,2026-03-29,ACC000629,SEC00067,ADV0002,BUY,330,620.62,204804.6,409.61,368.65,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:59.063276,2026-07-16 11:10:59.063276
88d73074-f355-4b02-860b-334d7f82e0cb,2025-09-14,ACC000036,SEC00115,ADV0015,BUY,38,445.02,16910.76,33.82,30.44,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:59.063305,2026-07-16 11:10:59.063305
8d473eee-08e8-4d46-9a90-9fd641502f47,2025-01-01,ACC000510,SEC00010,ADV0018,SELL,77,3299.04,254026.08,508.05,457.25,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:59.063334,2026-07-16 11:10:59.063334
68310d7c-a209-46ee-ac90-acc886aa88b6,2026-02-05,ACC000273,SEC00148,ADV0019,BUY,78,3530.27,275361.06,550.72,495.65,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:59.063362,2026-07-16 11:10:59.063362
