account_id,customer_id,account_type,opened_date,branch,currency,status,source_system,batch_id,load_date,record_created_ts,record_updated_ts
ACC000062,CUST00405,Savings,2026-03-26,Delhi,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.584335,2026-07-19
ACC000800,CUST00470,Investment,2015-10-19,Delhi,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.590277,2026-07-19
ACC000748,CUST00252,Investment,2018-01-31,Bengaluru,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.589901,2026-07-19
ACC000669,CUST00337,Investment,2026-10-17,Pune,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.589342,2026-07-19
ACC000727,CUST00273,Savings,2019-03-08,Bengaluru,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.589710,2026-07-19
ACC000111,CUST00203,Savings,2019-06-05,Mumbai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.584633,2026-07-19
ACC000390,CUST00483,Current,2017-04-29,Mumbai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.587635,2026-07-19
ACC000465,CUST00009,Investment,2017-08-27,Pune,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.588083,2026-07-19
ACC000035,CUST00009,Demat,2024-05-13,Chennai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.584172,2026-07-19
ACC000245,CUST00120,Current,2017-03-31,Bengaluru,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.586350,2026-07-19
ACC000272,CUST00404,Current,2018-08-25,Mumbai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.586582,2026-07-19
ACC000284,CUST00246,Current,2017-03-05,Hyderabad,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.586670,2026-07-19
ACC000732,CUST00416,Savings,2020-10-11,Mumbai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.589738,2026-07-19
ACC000481,CUST00036,Current,2022-02-16,Mumbai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.588188,2026-07-19
ACC000301,CUST00403,Investment,2017-07-10,Mumbai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.586767,2026-07-19
ACC000773,CUST00392,Demat,2015-04-11,Mumbai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.590109,2026-07-19
ACC000143,CUST00360,Current,2020-08-07,Bengaluru,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.585662,2026-07-19
ACC000257,CUST00301,Savings,2022-07-20,Chennai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.586423,2026-07-19
ACC000621,CUST00274,Savings,2026-01-12,Kolkata,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.589046,2026-07-19
ACC000278,CUST00311,Investment,2018-07-10,Hyderabad,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.586634,2026-07-19
ACC000237,CUST00316,Current,2021-08-14,Mumbai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.586301,2026-07-19
ACC000751,CUST00388,Current,2016-06-25,Bengaluru,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.589929,2026-07-19
ACC000777,CUST00143,Current,2016-02-05,Bengaluru,INR,Closed,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.590136,2026-07-19
ACC000478,CUST00038,Demat,2016-07-05,Chennai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.588172,2026-07-19
ACC000290,CUST00289,Savings,2018-05-23,Kolkata,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.586704,2026-07-19
ACC000666,CUST00338,Savings,2015-12-25,Kolkata,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.589323,2026-07-19
ACC000587,CUST00144,Investment,2019-01-13,Pune,INR,Closed,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.588842,2026-07-19
ACC000519,CUST00230,Investment,2025-10-20,Bengaluru,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.588421,2026-07-19
ACC000141,CUST00149,Demat,2026-07-16,Delhi,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.584839,2026-07-19
ACC000479,CUST00102,Investment,2022-06-03,Chennai,INR,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:47.588177,2026-07-19
